LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
489,mleko krowie UHT 15% t³uszczu,45,3.3,1.5,5.1
490,mleko krowie UHT 20% t³uszczu,53,3.5,2,5
491,mleko krowie 32% t³uszczu,63,3.5,3.2,5
492,mleko krowie w proszku odt³uszczone,260,36.1,0.9,52
493,mleko krowie w proszku pe³ne,475,27.1,24.2,29.2
494,mleko krowie w proszku pó³t³uste,409,30.3,12.4,40.5
495,mleko krowie zagêszczone nies³odzone,133,6.7,7.7,9.6
496,mleko krowie zagêszczone s³odzone,330,7.7,8.2,56.1
497,mleko krowie zsiad³e,60,3.2,3.1,4.9
498,mleko owcze,109,6.2,7.1,5.3
499,mleko sojowe,53,4.7,2.1,5
500,mleko sojowe czekoladowe,47,2.8,2,5.9
501,mleko wielb³adzie,70,3.9,4.1,4
502,proszek jajeczny,590,49.2,42.5,2.9
503,ser brie pó³t³usty,325,20.1,28.8,0.3
504,ser bryndza,284,18.5,21.2,1.3
505,ser bursztyn,340,27.3,26.3,0.2
506,ser camembert pe³not³usty,299,21.6,22.5,0.3
507,ser cheddar pe³not³usty,400,27.5,32.2,0.1
508,ser edamski t³usty,316,27,22.8,0.2
509,ser edamski topiony,299,13.6,27.5,1.4
510,ser ementaler pe³not³usty,384,29.2,30.1,0.2
511,ser emanteler t³usty,316,30,20.9,0.2
512,ser feta,216,17.2,15.8,1.1
513,ser gouda do smarowania Hochland,253,10,21,6
514,ser gouda pe³not³usty,330,28.2,23.9,0.2
515,ser gouda t³usty,310,27.5,21.6,0.2
516,ser kozi miêkki,270,19,21.3,0.7
517,ser kozi twardy,455,31.3,36,2.1
518,ser limburski,255,25.1,20.5,0.2
519,ser mascarpone,455,5.9,46,2.1
520,ser mozzarella,251,11.7,12.1,23.8
521,ser myœliwski pe³not³usty,344,25.4,27.3,0.2
522,ser myœliwski t³usty,336,29.3,23.8,0.2
523,ser oscypek,593,12.3,61,0.1
524,ser owcy parzony typu mozzarella,266,15.3,20.9,0
525,ser owczy solankowy typu feta,209,12.3,18.4,0
526,ser owczy twarogowy bia³y,260,15.1,19.8,0
527,ser owczy twarogowy pe³not³usty wêdzony,314,13.1,24.3,7.7
528,ser parmezan,453,42,31.5,0.2
529,ser pleœniowy,352,21.6,29.2,2.6
530,ser pleœniowy Aksamitek SM Turek,350,17.5,31,0.3
531,ser pleœniowy brie SM Turek,294,18,24.5,0.4
532,ser pleœniowy cambozola Classic Finesse,427,14,41,0.5
533,ser pleœniowy camembert SM Turek,294,18,24.5,0.4
534,ser pleœniowy camembert Cr?me Valbon Hochland,331,10,31,3
535,ser pleœniowy dorblu,356,21.5,29.8,0
536,ser pleœniowy Lazur Blue Turkusowy,360,21.8,31,0.2
537,ser pleœniowy Mabelle Camembert,354,17.7,31.2,0.4
538,ser pleœniowy naturalny brie Sekret Mnicha,350,17.5,31,0.3
539,ser pleœniowy Valbon Brie,360,17,32,1
540,ser pleœniowy Valbon Camembert oryginalny,360,17,32,1
541,ser pleœniowy Z³oty Brie SM Turek,350,17.5,31,0.3
542,ser pleœniowy Z³oty Camembert SM Turek,350,17.5,31,0.3
543,ser radamer,435,25.8,25.5,0.2
544,ser ricotta,126,10.1,9.9,0
545,ser rokpol pe³not³usty,370,23.1,31.2,0.2
546,ser roquefort,380,21.5,31.8,1.6
547,ser salami pe³not³usty,348,25.1,27.8,0.1
548,ser salami t³usty,300,25.5,21.7,0.1
549,ser stilton,384,25.4,34.7,0
550,ser Tartare Delikatny,202,7.6,17.5,3.5
551,ser Tartare Figura,197,7.6,16.5,4.3
552,ser Tartare Kraina Smaków,228,6.2,21,3.5
553,ser tofu,72,7.2,3.9,1.3
554,ser topiony edamski,294,13.2,26.8,1.1
555,ser topiony ementaler,306,12.8,27.1,0.9
556,ser topiony kremowy,311,17.4,27.5,1.6
557,ser topiony t³usty,225,18.3,16.1,1.4
558,ser topiony z papryk¹ Hochland,309,7,29,5
559,ser tosca z czosnkiem,165,10.4,11.8,4.1
560,ser tosca z warzywami,165,8.1,11.9,5.5
561,ser trapistów pe³not³usty,379,23.8,31,0.1
562,ser trapistów t³usty,355,27.9,27,0.1
563,ser twarogowy chudy,98,20,0.4,3.2
564,ser twarogowy kremowy paprykowy Ostrowia,252,5,24,4
565,ser twarogowy kwasowy chudy,105,21.4,1.4,2.5
566,ser twarogowy kwasowy t³usty,170,8,9.3,3.6
567,ser twarogowy pó³t³usty,135,18.9,4.8,3.6
568,ser twarogowy œmietankowy Philadelphia,255,5.9,24,3.2
569,ser twarogowy t³usty,177,17.9,10.3,3.6
570,ser twarogowy ziarnisty,98,11.9,4.7,2.9
571,ser tyl¿ycki pe³not³usty,360,27,28,0.1
572,ser tyl¿ycki t³usty,330,28,24.5,0.1
573,ser wiejski,129,17.4,4.7,2.7
574,serek do wypieków SM TUrek,148,7.6,11.5,3.5
575,serek fromage naturalny,380,10.3,37.3,2.2
576,serek fromage z czosnkiem,370,10.3,36.2,3.7
577,serek grani naturalny,90,11.2,3.9,2.4
578,serek homogenizowany,143,16.4,3.7,12.8
579,serek homogenizowany brzoskwiniowy,120,5.6,3.2,17.1
580,serek homogenizowany czekoladowy,165,15.2,3.6,17.5
581,serek homogenizowany jab³kowy z rodzynkami i cynamonem Danone,115,5.3,3,16.4
582,serek homogenizowany jagodowy Danone,112,5.3,3,15.7
583,serek homogenizowany naturalny SM Jana,118,13,6.5,1.8
584,serek homogenizowany pe³not³usty,164,13,11.1,2.8
585,serek homogenizowany truskawkowy Danone,168,15.3,3.9,17.6
586,serek homogenizowany waniliowy Danone,159,16.8,4.2,13.3
587,serek homogenizowany SM Jana,110,8.5,4,10
588,serek homogenizowany wiœniowy SM Jana,118,9.4,0,11.1
589,serek kremowy SM Turek,216,6.5,19.5,3.5
590,serek œwie¿y SM Turek,157,7.7,12.5,3.5
591,serek œwie¿y light SM Turek,73,8.5,3,3
592,serek truskawkowy Danone,122,6.4,3.5,16.1
593,serek twarogowy ziarnisty,104,12.5,4.5,3.4
594,serwatka p³ynna,26,0.9,0.1,4.9
595,œmietana 9% t³uszczu,111,2.8,9,4.5
596,œmietana 12% t³uszczu,136,2.8,12,4
597,œmietana 18% t³uszczu,185,2.7,18,3.4
598,œmietana 20% t³uszczu,202,2.5,20,3.6
599,œmietana 24% t³uszczu,240,2.5,24,3.5
600,œmietana 30% t³usczu,292,2.3,30,3
601,œmietanka 85% t³uszczu do kawy s³odzona,160,4.4,8.5,15.8
602,œmietanka 9% t³uszczu do kawy,110,2.9,9,3.7
603,œmietanka 12% t³uszczu,135,2.8,12,4
604,œmietanka 18% t³uszczu,188,2.6,18,3.7
605,œmietanka 20% t³uszczu,206,2.6,20,3.4
606,œmietanka 30% t³uszczu,290,2.3,30,3.4
607,zabielacz do kawy proszek,105,2.7,7.6,10.5
608,adwokat,253,4.1,0,24.9
609,ajerkoniak,277,5.4,0,29
610,brandy,215,0,0,0
611,coca-cola,42,0,0,10.4
612,coca-cola bezkofeinowa,42,0,0,10.4
613,coca-cola bezkofeinowa light,1,0.1,0,0.1
614,coca-cola light,1,0.1,0,0.1
615,curaçao likier,422,0,0,27.1
616,gin,233,0,0,0
617,herbata bez cukru napar,0,0,0,0.1
618,herbata rumiankowa bez cukru napar,1,0,0,0.2
619,herbata zielona z miêt¹,62,5.3,0,11
620,herbata zio³owa bez cukru napar,1,0,0,0.2
621,ja³owcówka,232,0,0,0
622,kakao Nesquik proszek,380,3.5,3,84.3
623,kakao proszek 16%,452,19,20.9,51.3
624,kakao proszek 20%,460,19,20.1,51.2
625,kawa 3 w 1 proszek Maxwell House,405,2.5,10.5,75.5
626,kawa bez cukru napar,3,0.3,0,0.4
627,kawa cappuccino proszek Mokate,413,9,9,74
628,kawa cappuccino œmietankowe proszek,291,5.1,10.4,69.2
629,kawa Ricore proszek,344,12.6,0.2,73
630,kawa rozpuszczalna proszek Nescafé,240,12.2,0.5,41.1
631,kawa rozpuszczalna z cykori¹ proszek,184,3.5,0,42.1
632,kawa zbo¿owa bez cukru napar,3,0.3,0,0.4
633,kawa zbo¿owa proszek,366,6.3,2.7,80
634,koniak,321,0,0,0
635,likier kminkowy,166,0,0,24.6
636,likier orzechowy,274,0,0,22.3
637,likier zio³owy,203,0,0,0
638,napoje gazowane o smaku owocowym,44,0,0,11.2
639,napój cytrynowy Jupik,15,0.1,0.1,3.5
640,napój Fanta,48,0,0,11.7
641,napój Fanta o smaku pomarañczowym,44,0,0,10.8
642,napój herbaciany Ice Tea Green Lipton,28,0,0,6.8
643,napój herbaciany o smaku malinowym proszek Gellwe,384,0,0,96
644,napój herbata z limonk¹ ¯ywiec Zdrój,20,0,0,4.9
645,napój jab³kowo-miêtowy Tymbark,39,0.1,0.1,9.5
646,napój jab³kowy,43,0.1,0.4,9.9
647,napój mleczny jogurtowy,80,3.8,1.7,11.8
648,napój mleczny kakaowy,79,3.1,2,11.7
649,napój mleczny Monte Drink,87,3.8,2.1,13.1
650,napój Red Bull,45,0,0,11.3
651,napój Sprite,42,0,0,10.5
652,napój z czarnej porzeczki Tymbark,57,0.1,0.1,14
653,nektar jab³kowy antonówka Tymbark,44,0.1,0.1,10.6
654,nektar z czerwonych grejpfrutów Hortex,45,0.3,0.1,10.8
655,oran¿ada,44,0,0,13.2
656,pepsi cola,42,0,0,10.4
657,pepsi cola bezkofeinowa,42,0,0,10.4
658,pepsi cola bezkofeinowa light,1,0.1,0,0.1
659,pepsi cola light,1,0.1,0,0.1
660,piwo bezalkoholowe,29,0.3,0,5.4
661,piwo ciemne,50,0.3,0,5.6
662,piwo ciemne pe³ne,77,0.5,0.1,7.2
663,piwo imbirowe,32,0,0,8.5
664,piwo jasne,42,0.6,0,4
665,piwo jasne pe³ne,72,0.5,0.1,5
666,piwo korzenne,42,0,0,11
667,porter,90,0.5,0.1,9.5
668,porto,170,0,0,12
669,portwein,162,0.3,0,14.5
670,rum,241,0,0,0
671,sherry s³odkie,145,0,0,5.8
672,sherry wytrawne,115,0,0,1.5
673,soka ananasowy,50,0.4,0.2,11.8
674,sok brzoskwiniowo-bananowo-jab³kowy Hortex,45,0.4,0.1,10.5
675,sok cytrynowy,27,0.5,0.3,6.1
676,sok grejpfrutowy,40,0.6,0.1,9.4
677,sok grejpfrutowy ró¿owy œwie¿y,40,0.4,0.1,9.4
678,sok grejpfrutowy œwie¿y,40,0.4,0.1,9.4
679,sok gruszkowy,46,0,0,12
680,sok jab³kowo-burakowy Bio pasteryzowany Rzepka,38,0.7,0.1,8.5
681,sok jab³kowy,44,0.1,0.1,9.5
682,sok jab³kowy Bobo Frut,42,0.1,0,10.5
683,sok jab³kowy Tymbark,42,0.1,0.1,10.2
684,sok jab³kowy 100% Fortuna,46,0.1,0.1,10.9
685,sok jab³kowy 100% Hortex,40,0.1,0.1,10
686,sok jab³kowy antonówka Tymbark,44,0.1,0.1,10.6
687,sok jab³kowy Bio pasteryzowany Rzepka,40,0.1,0.1,10
688,sok jab³kowy pasteryzowany Specja³ Wiejski,40,0.1,0.1,10
689,sok jab³kowy œwie¿y,24,0.5,0.4,4.9
690,sok Kubuœ banan jab³ko i brzoskwinia,52,0.4,0.1,13.2
691,sok marchwiow-brzoskwiniowy,45,0.6,0.1,11.1
692,sok marchwiowo-jab³kowo-bananowy Pysio,48,0.5,0.1,11
693,sok marchwiowo-jab³kowo-brzoskwiniowy Pysio,48,0.4,0.1,11
694,sok marchwiowo-jab³kowo-pomarañczowy,45,0.7,0.3,11.5
695,sok marchwiowo-jab³kowy,47,0.6,0.4,13
696,sok marchwiowo-jab³kowy Bio pasteryzowany Rzepka,43,0.2,0.1,10.6
697,sok marchwiowo-pomarañczowy,38,0.7,0.2,11.1
698,sok marchwiowy,44,0.5,0.1,11.5
699,sok pomarañczowy,44,0.7,0.1,10
700,sok pomarañczowy œwie¿y,45,0.8,0.2,10.5
701,sok pomidorowy,12,0.9,0.1,2.7
702,sok pomidorowy Hortex,15,0.9,0.2,2.4
703,sok pomidorowy Bio pasteryzowany Rzepka,14,0.8,0.1,2.6
704,sok pomidorowy pikantny œwie¿y Tymbark,13,0.8,0.1,2.2
705,sok wielowarzywny,26,1.1,0.4,5.6
706,sok z burak i ogórka kiszonego Cymes,28,1.4,0.1,9.1
707,sok z buraków,36,1.5,0.1,7.3
708,sok z cytryny œwie¿y,22,0.5,0.2,6.6
709,sok z czarnej porzeczki pasteryzowany Wiejski Specja³,53,0.3,0.1,12.7
710,sok z czarnej porzeczki œwie¿y,55,0.4,0.1,12
711,sok z jab³ek œwie¿y Cymes,47,0.3,0.3,12
712,sok z limonki œwie¿y,24,0.3,0.1,9.2
713,sok z marchwi i selera œwie¿y Cymes,28,0.3,0.4,8.4
714,sok z marchwi jab³ek i owoców tropikalnych,53,0.6,0.4,13.8
715,sok z marchwi œwie¿y,46,0.5,0.2,11.5
716,sok z marchwi œwie¿y Cymes,27,0.3,0.4,8.4
717,sok z pomarañczy Jaffa œwie¿y Cymes,44,0.6,0.1,9.9
718,sok z pomidorów,15,0.9,0.1,2.7
719,sok z winogron,59,0.7,0.1,15.3
720,szampan,76,0.4,0,1.5
721,szampan pó³s³odki,99,0.3,0,7
722,szampan pó³wytrawny,80,0.1,0,3.5
723,szampan s³odki,121,0.3,0,12
724,tonik,35,0,0,9.1
725,tonik Schweppes,30,0,0,7.2
726,whisky,220,0,0,0
727,whisky scotch,250,0,0,0
728,winiak,263,0,0,0
729,wino bia³e musuj¹ce,77,0,0,1.6
730,wino bia³e pó³wytrawne,83,0.1,0,3.9
731,wino bia³e s³odkie,90,0.2,0,6.1
732,wino bia³e wytrawne,111,0.1,0,0.8
733,wino czerwone,109,0.1,0,0.3
734,wino czerwone pó³s³odkie,78,0,0,0.9
735,wino czerwone s³odkie,107,0.1,0,8.3
736,wino czerwone wytrawne,68,0,0,0.4
737,wino lecznicze chrzanowe,88,0.3,0,14.9
738,wino lecznicze selerowe,75,0.3,0,12.9
739,wino madera,97,0,0,2.4
740,wino malaga,134,0,0,8.3
741,wino ró¿owe,73,0,0,2.7
742,wino wermut s³odkie,174,0.2,0,16.2
743,wino wermut wytrawne,97,0,0,4.8
744,wino z czarnej porzeczki,80,0.5,0.2,22.8
745,wino z g³ogu,72,0.3,0,18.9
746,wino z pomarañczy,157,0.2,0,39.6
747,wino z winogron,111,0.4,0.2,28.3
748,woda mineralna Muszynianka,0,0,0,0
749,woda mineralna Na³êczowianka,0,0,0,0
750,woda mineralna Zywiec Zdrój,0,0,0,0
751,woda z kranu,0,0,0,0
752,wódka,239,0,0,0
753,wódka czysta,224,0,0,0
754,wódka s³odka,265,0,0,0
755,any¿ nasiona,332,17.7,16.3,51
756,dynia pestki,566,25.6,45.9,18.3
757,dynia pestki opiekane,523,33,43.2,13.5
758,kokos,342,3.5,32.1,16.1
759,koper nasiona,303,17.2,15.1,56
760,len nasiona,540,19.1,43,28.3
761,mak niebieski,487,20.2,43.8,35.2
762,migda³y,577,21.2,53.1,20.6
763,migda³y kalifornijskie,580,21.2,53,20.7
764,migda³y opiekane na sucho,616,21.3,55.2,20.2
765,migda³y opiekane w oleju,620,20.3,57.1,19
766,mleczko kokosowe,21,0.8,0.3,3.8
767,orzechy arachidowe,565,25.9,47,19.9
768,orzechy arachidowe opiekane na sucho,580,24.1,47,26.1
769,orzechy arachidowe opiekane w oleju,570,26.3,46.4,22.1
770,orzechy brazylijskie,678,13.8,66.1,14.5
771,orzechy cashews pra¿one i solone,598,21.5,51.8,25.5
772,orzechy kokosowe œwie¿e mi¹¿sz,655,3.5,67.5,15.6
773,orzechy kokosowe wiórki,605,5.7,64.3,27.1
774,orzechy laskowe,644,14.8,63.1,15
775,orzechy laskowca opiekane na sucho,660,14.6,65,15.5
776,orzechy nerkowca,570,18.3,47.1,27.8
777,orzechy nerkowca opiekane na sucho,577,16,47.1,33.2
778,orzechy nerkowca opiekane w oleju,580,17,47,31
779,orzechy pekan,690,9.3,70.9,15.1
780,orzechy pinii,675,14,68.5,13.2
781,orzechy pistacjowe,590,21.1,28.7,25.3
782,orzechy pistacjowe opiekane na sucho,596,21.3,50.5,25.1
783,orzechy pistacjowe w ³upinkach pra¿one i solone bez t³uszczu,622,20.5,53.7,15.8
784,orzechy w czekoladzie,640,4.7,16.5,79
785,orzechy w³oskie,651,16.3,60.5,18.7
786,sezam nasiona,630,23.8,61.5,9.7
787,sezam nasiona opiekane,606,15,53.1,27.9
788,s³onecznik nasiona,570,25.4,44.5,23.2
789,s³onecznik nasiona opiekane na sucho,670,21,44.5,20.4
790,s³onecznik nasiona opiekane w oleju,590,23.3,51.2,19.6
791,s³onecznik nasiona z miodem,555,19.7,40.4,15.2
792,wiórki kokosowe,705,5.8,64.1,26.7
793,agrest,40,0.7,0.3,12.1
794,ananas,55,0.5,0.3,14.1
795,ananas plastry w syropie,87,0.5,0.2,21.2
796,ananas suszony,334,2.6,2.6,74.6
797,arbuz,35,0.4,0.1,8.8
798,awokado,164,2.2,15.6,7.7
799,babaco,20,1,0.2,3.6
800,banan,97,1.1,0.5,23.6
801,banan skrobiowy,111,0,0,29
802,banan suszony,345,3.7,1.5,87.9
803,Borówki,48,0.3,0.3,12.1
804,borówki amerykañskie,59,0.9,0.3,15.2
805,borówki konfitura do miês,192,0.3,0.1,53.1
806,brzoskwinia,45,1.1,0.4,12.3
807,brzoskwinia mus,78,2.8,0.2,18.9
808,brzoskwinia suzona,255,5.5,1.6,64.3
809,brzoskwinia w syropie,77,0.7,0.1,19.9
810,brzoskwinia w syropie ods¹czona,88,0.9,0.2,21.5
811,canistel,155,2.2,1.3,42.1
812,cytron kandyzowana skórka,91,0,0,24.1
813,cytryna,35,1.3,0.4,9.3
814,cytryna œwie¿a skórka,73,1.7,0.2,17
815,czarne jagody,46,1.1,0.9,13.8
816,czarne jagody gotowane,93,0.7,0.2,21.9
817,czarne jagody mro¿one,44,1,0.5,13.1
818,czereœnie,62,1.1,0.4,13.9
819,czereœnie suszone,275,4.6,1.3,69.9
820,daktyly,92,0,0,26.2
821,daktyle suszone,279,2.2,0.3,73.9
822,durian,30,1.1,0,6.7
823,dynia,26,1.7,0.5,7.6
824,dynia gotowana,24,1.1,0.3,6.2
825,d¿em agrestowo-truskawkowy niskos³odzony,166,0.6,0.3,40.2
826,d¿em ananasowy bez cukru,601,0.3,0.1,36.2
827,d¿em ananasowy niskos³odzony,154,0.3,0.2,39.2
828,d¿em brzoskwiniowy niskos³odzony,159,0.6,0.2,37.3
829,d¿em jagodowy bez cukru,148,0.6,0.4,36.6
830,d¿emu jagodowy niskos³odzony,154,0.4,0.1,39.1
831,d¿em morelowy niskos³odzony,155,0.5,0.2,39
832,d¿em pomarañczowy niskos³odzony,155,0.3,0.2,38.7
833,d¿em œliwkowy niskos³odzony,155,0.4,0.2,38.2
834,d¿em œliwkowy wysokos³odzony,155,0.4,0.3,37.7
835,d¿em truskawkowy,167,0.4,0.3,39
836,d¿em truskawkowy wysokos³odzony,255,0.4,0.3,63.4
837,d¿em wiœniowy niskos³odzony,156,0.3,0.1,37.6
838,d¿em wiœniowy wysokos³odzony,259,0.5,0.3,62.3
839,d¿em z czarnej porzeczki niskos³odzony,155,0.4,0.2,40.1
840,d¿em z czarnej porzeczki wysokos³odzony,255,0.6,0.2,64.1
841,d¿em z kiwi niskos³odzony,156,0.3,0.2,38.1
842,d¿em z moreli s³odzony fruktoz¹,122,0.5,0.2,31
843,d¿em z pigwy,163,0.2,0.3,41.1
844,d¿em z truskawek s³odzony fruktoz¹,119,0.2,0.1,29.8
845,figi kaktusowe,44,0.7,0.2,9.4
846,figi suszone,292,3.9,1.4,78.9
847,figi suszone duszone,133,1.3,0.7,33.1
848,figi œwie¿e,77,0.6,0.4,20
849,granat,70,1.1,0.4,18.3
850,grejpfrut,34,0.5,0.2,10.3
851,grejpfrut czerwony,33,0.6,0.2,7.4
852,grejpfrut w puszcze s³odzony,73,0.8,0.2,18.4
853,gruszka,55,0.7,0.3,14.6
854,gruszka gotowana,55,1.1,0.3,12.9
855,gruszka suszona,266,2,0.4,70
856,gruszka suszona duszona bez cukru,122,0.7,0.4,32.9
857,gruszka suszona duszona z cukrem,140,0.8,0.4,37.2
858,guajawa,36,0.9,0.7,12.3
859,guanabana,66,0.9,0,17.2
860,jab³ko,44,0.6,0.5,13
861,jab³ko gotowane,44,0.5,0.6,12.3
862,jab³ko gwieŸdziste,69,1.2,1.1,16
863,jab³ko mus,122,2.9,1.1,27
864,jab³ko pieczone,105,0.2,1.9,21.1
865,jab³ko pieczone z cukerm,110,0.4,1.7,24.2
866,jab³ko suszone,244,2.3,2.2,63.6
867,jab³ko suszone gotowane,63,0.2,0.4,16.3
868,je¿yny,62,1.5,0.2,16.6
869,kalamansi,30,1.2,0,7.8
870,karambloa,34,1.1,0.9,7.7
871,kiwi,55,1,0.4,14.3
872,klementynki,39,1.1,0.2,8.9
873,konfituraa truskawkowa,303,1.2,1.4,72.9
874,konfitura wiœniowa,311,0.5,1.2,62.3
875,kumkwat,13,0,0,3.2
876,liczi,73,0.2,0.2,17.5
877,limonka,28,0.6,0.3,11.2
878,longan,56,0,0,14
879,malinoje¿yny,35,1.5,0.3,14.1
880,maliny,30,1.2,0.4,11.8
881,maliny mro¿one,30,1.2,0.4,12.4
882,maliny gotowane,144,17.2,2.8,1.5
883,mandarynka,43,0.7,0.3,10.9
884,mandarynka w zalewie,40,0.8,0.2,10.1
885,mango,66,0.7,0.4,17.7
886,mangostan,78,1.1,0.9,20
887,marakuja,35,2.9,0.3,6.3
888,marmolada,271,0.5,0.2,68.9
889,marmolada œliwkowa,244,0.5,0.3,63.5
890,melon,33,1,0.4,8.5
891,melon gorzki,8,2.2,0,0.9
892,melon kantalupa,23,0.3,0.1,4.8
893,melon miodowy,33,1.1,0.1,6.5
894,mieszanka owocowa mro¿ona,44,1,0.4,12.2
895,morele,45,0.8,0.3,12.3
896,morele gotowane,45,1.8,0.3,10.5
897,morele suszone,290,5.5,1.3,72.4
898,morele suszone duszone bez cukru,130,2.5,0.6,33.1
899,morele w puszce s³odzone,90,0.8,0.2,23.4
900,morwa czarna,31,2.1,0,6.4
901,nektarynka,45,0.8,0.2,11.6
902,owoc chlebowca,101,2.1,0.1,25.8
903,papaja,45,0.7,0.1,10.8
904,patison gotowany,11,0.1,0.1,1.9
905,pepino (trimelon),19,0.2,0.1,4.8
906,persymona czarna,66,2.1,0,14.8
907,persymona suszona,276,1.5,0.7,73.1
908,pigwa,55,0.5,0.1,16
909,pigwica,58,0,0,14
910,pomarañcze,45,1,0.3,10.9
911,pomarañcze skórka,106,1.7,0.3,25.2
912,pomelo,48,1.1,0,11.5
913,pompela,43,1.1,0,12
914,porzeczki bia³e,35,1.1,0.1,12.8
915,porzeczki bia³e mro¿one,32,1.1,0.3,13.5
916,porzeczki czarne,36,1.5,0.2,15.5
917,porzeczki czarne mro¿one,40,1.5,0.3,15.5
918,porzeczki czerwone,33,1,0.3,14.3
919,porzeczki czerwone mro¿one,35,1,0.3,14.3
920,powid³a œliwkowe,217,1.2,0.3,54.1
921,powid³a z wêgierek,225,0.6,0.3,69.5
922,poziomki,35,0.9,0.6,8.5
923,poziomki mro¿one s³odzone,91,0.3,0.2,22.7
924,rambutan,71,0,0,15.5
925,rodzynki Ekonatural,272,2.3,0.5,71.2
926,rodzynki greckie Bakalland,272,2.3,0.5,71.2
927,rodzynki su³tañskie Fresco,277,2.3,0.5,64.7
928,œliwki,46,0.5,0.3,12
929,œliwki bez pestek mro¿one,52,0.7,0.2,11.9
930,œliwki daktylowe,78,0.8,0.5,19.5
931,œliwki gotowane,45,1.1,0.3,11.1
932,œliwki powid³a,220,1.1,0.3,54.5
933,œliwki suszone,12,5.3,1.1,71.3
934,œliwki suszone z pestk¹,270,3.4,1.5,69.7
935,œliwki suszone duszone bez cukru,122,1.7,0.6,30.5
936,œliwki w czekoladzie,613,16.2,28.1,79.5
937,œliwki w puszce s³odzone,85,0.5,0.1,22.3
938,truskawki,30,0.8,0.5,7.3
939,truskawki mro¿one,29,0.6,0.5,7.3
940,tykwa,18,1.1,0.1,2.9
941,winogrona,72,0.8,0.2,18.4
942,winogrona w s³odkim sosie jogurtowym,80,1.8,0.9,18.3
943,wiœnie,49,0.7,0.5,11.2
944,wiœnie bez pestek mro¿one,48,1,0.4,11.1
945,wiœnie gotowane,43,1.3,0.5,9.9
946,wiœnie suszone,273,5.4,2.6,65.2
947,¿urawina,50,0.5,0.2,13
948,¿urawina mus s³odzony w puszce,150,0.2,0.3,38
949,bagietka francuska,285,8.1,1.6,60.6
950,bajgiel,223,8.8,1.6,46.5
951,bu³ki dro¿d¿owe,277,5.3,7.2,50.1
952,bu³ka do hot-doga,321,8.2,7.7,59.2
953,bu³ka grahamka,266,8.1,1.4,59.8
954,bu³ka kajzerka,291,7.7,3.3,55.6
955,bu³ka ma³gorzatka,268,9.2,1.6,60.5
956,bu³ka maœlana,328,7.3,6.1,63.7
957,bu³ka mleczna,315,8.1,4.3,62.3
958,bu³ka owsiana,302,8.3,4.3,59.2
959,bu³ka pszenna paryska,277,7.1,2.6,53.9
960,bu³ka pszenna poznañska,225,7.3,0.9,57.9
961,bu³ka pszenna wyborowa,224,5.2,2.8,45.9
962,bu³ka pszenna z makiem,272,7.8,2.5,56.1
963,bu³ka sojowa,321,9.8,4.7,63.2
964,bu³ka tarta,348,9.8,2.1,76.9
965,bu³ka tarta panierka,401,8.3,24.7,35.6
966,bu³ka wroc³awska,301,7.7,4.1,56.2
967,bu³ka zwyk³a,277,7.7,1.9,59.9
968,cha³ka zdobna,331,7.7,7.3,62.5
969,cha³ka zwyk³a,279,7.2,2.8,60.3
970,chleb baltonowski,244,6.6,1.3,54.8
971,chleb chrupki,361,9.3,2.3,78.8
972,chleb chrubki graham Wasa,365,13,7.4,61
973,chleb chrupki lekkie pieczyw 7 zbó¿ Wasa,345,10,3,69
974,chleb chrupki lekkie pieczywo kukurydziane Wasa,365,9,3.8,74
975,chleb chrupki lekkie pieczywo pszenne Wasa,360,12,2.2,73
976,chleb chrupki lekkie pieczywo ry¿owe Wasa,375,8,3.3,78
977,chleb chrupki lekkie pieczywo ¿ytnie Wasa,353,11,2.4,73
978,chleb chrupki original Wasa,315,9,1.4,67
979,chleb chrupki pe³noziarnisty 3 zbo¿a Wasa,324,11,4.4,60
980,chleb chrupki pe³noziarnisty sport Wasa,305,9,1.5,64
981,chleb chrupki pe³noziarnisty z sezamem Wasa,330,12,6,58
982,chleb pe³noziarnisty ¿ytni Wasa,310,10,1.4,64
983,chleb chrupki z musli Wasa,355,12,5,65
984,chleb ciabatta,278,7.4,1.7,59
985,chleb grahm pszenny,222,7.4,1.9,50.1
986,chleb lecytynowy,230,9,1.1,45.4
987,chleb mazowiecki,244,6.6,1.6,57.3
988,chleb mieszany pszenno-¿ytni,202,4.4,1.2,45.6
989,chleb mieszany s³onecznikowy,244,6.5,4.9,49.1
990,chleb mieszany z soj¹,233,7.1,2.8,48.9
991,chleb mleczny,248,6.9,1.3,56.5
992,chleb naan,341,9.3,14.7,50.5
993,chleb na³êczowski,239,5.8,1.9,57.3
994,chleb pitta bia³a,277,9.8,1.6,52.9
995,chleb pitta razowa,267,9.9,2.3,54.8
996,chleb poleski,254,6.6,2.9,54.1
997,chleb praski,240,5.9,1.6,57.1
998,chleb pszenny,256,7.1,1.2,56.2
999,chleb pszenny ciemny barwiony karmelem,222,8.9,2.2,44.2
1000,chleb pszenny razowy graham,201,6.6,1.1,42.4
1001,chleb pszenny z ziarnem pszenicy,233,7.4,1.6,50.1
1002,chleb pszenny zwyk³y,218,5.9,1.2,46
1003,chleb pumpernikiel,255,6.1,1.9,59.1
1004,chleb pytlowy ¿ytni,234,4.1,1.2,57.1
