LP,NAZWA PRODUKTU,kcal,BIA£KA,T£USZCZE,WÊGLOWODANY
2125,gulasz z karkówki wieprzowej,154,6.7,10.5,10
2126,gulasz z karkówki wieprzowej z kapust¹,90,4.5,7.4,2.9
2127,gulasz z ³opatki cielêcej,100,12.2,5,2.3
2128,gulasz z ³opatki wieprzowej z piwem,194,9.8,15.3,4.1
2129,gulasz z piersi kurczaka,140,14.6,5,8.7
2130,gulasz z warzyw z wo³owin¹,78,5.9,4,6.5
2131,indyczka pieczona z farszem rodzynkowo-migda³owym,177,14.8,10.7,5.3
2132,jajeczka przepiórcze z kawiorem,100,7.2,7.1,2
2133,jajka faszerowane z majonezem i rze¿uch¹,263,7.8,25,2.7
2134,jajka nadziewane past¹ z wêdzonego dorsza,142,15.7,8.3,1.5
2135,jajka nadziewane past¹ z wêdzonego wêgorza,198,10,17.3,2.5
2136,jajka nadziewane sardynk¹ w oleju z warzywami,126,11,7.8,1.9
2137,jajka nadziewane warzywami,125,7,9.8,2.5
2138,jajka w galarecie z kawiorem,156,14.5,10.5,1
2139,jajka w galarecie z sosem œmietankowo-chrzanowym,162,10.4,12,3.6
2140,jajka w galarecie z szynk¹ i groszkiem,56,5.4,3.6,0.9
2141,kaczka nadziewana farszem z w¹tróbki i jab³ek,255,12,22.1,2.4
2142,kaczka w maladze,250,12.8,22.3,0.7
2143,kalafior w cieœcie naleœnikowym,190,4.2,13.5,14.9
2144,kalafior z bu³k¹ tart¹ i mas³em,79,3.8,5,6.5
2145,kalafior zapiekany z sosem serowym,120,4.6,9.8,4.9
2146,kalarepa nadziewana miêsem drobiowym,77,6.9,3,6.7
2147,kalarepa nadziewana miêsem wieprzowym,115,6.8,8,4.9
2148,kalarepa nadziewana miêsem wo³owym,94,8.5,4.1,7
2149,kapuœniak,91,1.7,8.8,2.1
2150,kapuœniak myœliwski z kie³bas¹ i boczkiem,90,3.5,8.5,0.8
2151,karkówka na dziko,203,12.1,16.7,0
2152,karkówka wieprzowa z grzybami,160,8.6,12.5,5.1
2153,karp gotowany w jarzynach,94,10.8,4.9,3.4
2154,karp gotowany z sosem koperkowym,111,12.5,6,0.7
2155,karp po wêgiersku,95,10.1,4.2,5.4
2156,karp po ¿ydowsku w szarym sosie,65,7.6,1.9,5.5
2157,karp sma¿ony oprószany m¹k¹,167,16.2,9,4.9
2158,karp sma¿ony panierowany,192,14.2,11.9,7.5
2159,karp w galarecie,140,25.2,3.1,2.6
2160,karp w galarecie z warzywami,60,9.1,1.9,1.4
2161,karp zapiekany z parmezanem w œmietanie,150,10.5,7.3,12
2162,kartoflanka z zacierkami,66,1.6,3.4,7.7
2163,kasza gryczana na sypko zacierana jajkiem ze smalcem,145,4.9,3,25.5
2164,kasza gryczana zapiekana z serem twarogowym i gêst¹ œmietana,182,7.7,11.5,12.6
2165,kasza gryczana zapiekana ze œwie¿ymi grzybami i serem,113,3.8,7.8,9
2166,kasza jaglana na sypko ze œliwkami,125,4.6,3.8,18.9
2167,kasza jaglana zapiekana z jab³kami,153,3.4,4.7,25.3
2168,kasza jêczmienna zapiekana z kurczakiem i groszkiem konserwowym,111,7.3,1.5,18.6
2169,kasza jêczmienna zapiekana z w¹tróbk¹ drobiow¹,138,7.7,6,14.6
2170,kasza manna na mleku,120,3.6,2.8,20.5
2171,kasza manna na wodzie s³odzona,40,0.5,0.2,9.6
2172,kasza zapiekana z boczkiem,188,7,12.8,13.5
2173,kasza zapiekana z miêsem wo³owo-wieprzowym i pomidorami,125,6,5.3,15.1
2174,klopsiki cielêce mielone,252,15.8,15.5,12.1
2175,klopsiki wieprzowo-wo³owe w sosie pomidorowym,155,10.4,10.1,6.2
2176,kluski dro¿d¿owe na parze,266,7.4,10,37.9
2177,kluski francuskie,309,9.2,17,31.6
2178,kluski k³adzione,170,5,1.5,34
2179,kluski k³adzione polane stopion¹ s³onin¹,270,6.8,11.1,36.7
2180,kluski k³adzione z jajecznic¹,162,7,6.4,19
2181,kluski kopytka polane stopionym mas³em z cebulk¹,163,4,3.6,30
2182,kluski krajane,220,6.6,2.4,45.1
2183,kluski lane,98,4.3,2.4,15.2
2184,kluski lane na mleku,71,3.7,3,7
2185,kluski œl¹skie,175,2.7,3.9,33
2186,kluski z gotowanych ziemniaków i twarogu (szagówki),16.43,1.5,23.1, 
2187,kluski z p³atków owsianych ze stopionym boczkiem,175,5.7,8,22.1
2188,kluski z sera twarogowego zapiekane z rodzynkami i gêst¹ œmietank¹,231,9.9,11.5,19
2189,kluski z surowych ziemniaków,183,4.8,9,21.7
2190,knedle z farszem z twarogu,145,7,4.8,19
2191,knedle z serem ¿ó³tym,194,5.5,8.8,24.3
2192,knedle ze œliwkami,170,3.7,3.6,32
2193,kotleciki jagniêce,166,16.2,11.1,2.7
2194,kotleciki z jajek,170,9.3,11.2,7.4
2195,kotleciki z kaszy i twarogu,215,8.6,11.1,21.7
2196,kotlety cielêce panierowany,364,26.8,21,17.2
2197,kotlety de volaille z kurczaka,226,15.8,14,7.8
2198,kotlety de volaille z kury,277,19.8,14.8,15.4
2199,kotlety mielone wieprzowo-wo³owe nadziewane serem ¿ó³tym,182,14.4,9.2,10.2
2200,kotlety mielone z dorsza z sosem koperokowym,173,15.1,7.7,9.5
2201,kotlety mielone z miesa drobiowego i grzybów,142,2.9,10.4,9.5
2202,kotlety mielone z miesa drobiowego z otrêbami,156,17,7.5,8.8
2203,kotlety panierowane z karkówki,353,18.7,23.8,15.4
2204,kotlety po¿arskie z kurczaka,290,15.7,19.8,12.8
2205,kotlety po¿arskie z kury,382,20,21,12
2206,kotlety schabowe wieprzowe duszone z cebul¹,167,17.5,9.6,3.7
2207,kotlety schabowe wieprzowe panierowane,247,23,15.6,3.1
2208,kotlety schabowe wieprzowe sauté,213,19,12.7,5.5
2209,kotlety sojowe,325,35.3,2.2,41.3
2210,kotlety z dorsza z pieczarkami,146,14.5,5.3,10.5
2211,kotlety z fasoli,197,9.5,6.6,30.7
2212,kotlety z karkówki wieprzowej z grilla,300,15.5,26.2,1.1
2213,kotlety z kaszy gryczanej z warzywami,120,3.3,5.6,14.6
2214,kotlety z piersi indyka panierowane w wiórkach kokosowych,191,13.2,14.5,4.2
2215,kotlety z piersi kurczaka panierowane w migda³ach,212,19.7,14.5,3.4
2216,kotlety z ry¿u zielonym groszkiem,131,3.7,4,21.2
2217,kotlety z soi gotowane,88,12,0.9,9
2218,kotlety z soi suche,339,49.7,2.5,36.2
2219,kotlety z warzyw,94,3.8,7,6
2220,kotlety z ziemniaków,156,3.9,4.4,25.6
2221,kotlety z ¿ó³tego sera,293,15.3,23.5,8.4
2222,kotlety ze szpinaku,137,4.9,6.4,18.5
2223,krokiety z dorsza,207,15.5,8,18.1
2224,krokiety z grzybów,93,4.3,6.2,6.5
2225,krokiety z kapust¹,160,4,8.1,21.1
2226,krokiety ziemniaczane,140,3,5.3,21.9
2227,królik w œmietanie,207,14,15.9,2.1
2228,krupnik,50,3.4,1.9,5.1
2229,krupnik z kaszy gryczanej,45,1.6,1.1,7.1
2230,krupnik z kaszy jêczmiennej,46,1.5,1.1,7.2
2231,krupnik z ry¿u,47,1.4,1,7.6
2232,kulebiak z farszem miêsnym,226,7.6,13,19.7
2233,kulebiak z farszem z kapusty i grzybów,153,4.5,6,21.4
2234,kura w galarecie,196,27.1,8.9,1.5
2235,kurczak faszerowany bakaliami i w¹tróbk¹,191,15.3,13,4.2
2236,kurczak w miodzie,158,16.4,9.2,2
2237,kurczak w winnej galarecie,47,6.4,0.5,5
2238,kurczak z nadzieniem podrobowo-rodzynkowym,327,19.9,24.8,5.9
